"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"DFE-2699","N/D","SCS1","Deputy Director","Childcare Funding and Market Reform Division Deputy Director","Department for Education","Department for Education","Childcare Funding and Market Reform Division","0370 000 2288","N/D","DFE-2655","725408","0.89","N/A","N/A","","Other","London","nan","1"
"DFE-2700","N/D","SCS1","Deputy Director","CSC Data and Digital Deputy Director","Department for Education","Department for Education","CSC Data and Digital","0370 000 2288","N/D","DFE-2320","0","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2701","N/D","SCS1","Deputy Director","Regions Group: North East and National SEND Improvement and Transformation Deputy Director","Department for Education","Department for Education","Regions Group: North East and National SEND Improvement and Transformation","0370 000 2288","N/D","DFE-2056","1038242","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2703","N/D","SCS1","Deputy Director","Assessment Operations and Services Deputy Director","Department for Education","Standard and Testing Agency","Schools Group","0370 000 2288","N/D","DFE-2135","0","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2704","N/D","SCS1","Deputy Director","Family Hubs and Early Years Interventions Deputy Director","Department for Education","Department for Education","Family Hubs and Early Years Interventions","0370 000 2288","N/D","DFE-2546","1688352","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2705","N/D","SCS1","Deputy Director","Lifelong Loan Entitlement Deputy Director","Department for Education","Department for Education","Lifelong Loan Entitlement","0370 000 2288","N/D","DFE-2307","1419686","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2706","N/D","SCS1","Deputy Director","Assessment Operations and Services Deputy Director","Department for Education","Standard and Testing Agency","Assessment Operations and Services","0370 000 2288","N/D","DFE-2135","0","0.60","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2707","N/D","SCS1","Deputy Director","CSC Portfolio and Funding Deputy Director","Department for Education","Department for Education","CSC Portfolio and Funding","0370 000 2288","N/D","DFE-2671","3103901","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2708","N/D","SCS1","Deputy Director","Early Years Sufficiency and Entitlements Deputy Director","Department for Education","Department for Education","Early Years Sufficiency and Entitlements","0370 000 2288","N/D","DFE-2655","2526857","0.70","N/A","N/A","","Other","London","nan","1"
"DFE-2710","N/D","SCS1","Deputy Director","HR Business Partners, Strategy and Talent Deputy Director","Department for Education","Department for Education","HR Business Partners, Strategy and Talent","0370 000 2288","N/D","DFE-2566","1075314","0.70","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2711","N/D","SCS1","Deputy Director","Local Accountability and Improvement Deputy Director","Department for Education","Department for Education","Local Accountability and Improvement","0370 000 2288","N/D","DFE-2298","1882454","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2713","N/D","SCS1","Deputy Director","BSIL Strategy and Portfolio Division Deputy Director","Department for Education","Department for Education","Families Group","0370 000 2288","N/D","DFE-2546","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2714","N/D","SCS1","Deputy Director","Analysis and Insight Deputy Director","Department for Education","Skills England","Skills Group","0370 000 2288","N/D","DFE-2522","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2715","N/D","SCS1","Deputy Director","CSC Regional Cooperatives and Fostering Deputy Director","Department for Education","Department for Education","CSC Regional Cooperatives and Fostering","0370 000 2288","N/D","DFE-2671","1243888","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2716","N/D","SCS1","Deputy Director","FE Workforce Deputy Director","Department for Education","Department for Education","Further Education Workforce","0370 000 2288","N/D","DFE-2019","1210387","0.86","N/A","N/A","","Other","London","nan","1"
"DFE-2717","N/D","SCS1","Deputy Director","Northern Division Deputy Director","Department for Education","Department for Education","Northern Division","0370 000 2288","N/D","DFE-2317","2049588","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2718","N/D","SCS1","Deputy Director","Families Group Central Deputy Director","Department for Education","Department for Education","Families Group","0370 000 2288","N/D","DFE-2078","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2719","N/D","SCS1","Deputy Director","FE Provider Infrastructure​ Deputy Director","Department for Education","Department for Education","FE Provider Infrastructure","0370 000 2288","N/D","DFE-2019","130313","0.63","N/A","N/A","","Other","London","nan","1"
"DFE-2720","N/D","SCS1","Deputy Director","Construction Delivery South East and London Deputy Director","Department for Education","Department for Education","Construction Delivery South East and London","0370 000 2288","N/D","DFE-2568","2796539","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2721","N/D","SCS1","Deputy Director","Early Years Sufficiency and Entitlements Deputy Director","Department for Education","Department for Education","Early Years Sufficiency and Entitlements","0370 000 2288","N/D","DFE-2655","0","0.70","N/A","N/A","","Other","London","nan","1"
"DFE-2722","N/D","SCS1","Deputy Director","FE Provider Infrastructure​ Deputy Director","Department for Education","Department for Education","FE Provider Infrastructure","0370 000 2288","N/D","DFE-2019","0","0.62","N/A","N/A","","Other","London","nan","1"
"DFE-2723","N/D","SCS1","Deputy Director","Funding Policy Implementation Deputy Director","Department for Education","Department for Education","Operations and Infrastructure Group","0370 000 2288","N/D","DFE-2562","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2724","N/D","SCS1","Deputy Director","Communications Deputy Director","Department for Education","Department for Education","Communications","0370 000 2288","N/D","DFE-2098","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2725","N/D","SCS1","Deputy Director","DDT Incubator Deputy Director","Department for Education","Department for Education","DDT Incubator","0370 000 2288","N/D","DFE-2124","1630757","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2726","N/D","SCS1","Deputy Director","FE Workforce Deputy Director","Department for Education","Department for Education","FE Workforce","0370 000 2288","N/D","DFE-2019","1246887","0.90","N/A","N/A","","Other","North West","nan","1"
"DFE-2727","N/D","SCS1","Deputy Director","HR Systems, Recruitment and Service Centre Deputy Director","Department for Education","Department for Education","HR Systems, Recruitment & Service Centre","0370 000 2288","N/D","DFE-2566","0","0.90","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2728","N/D","SCS1","Deputy Director","Local Accountability and Improvement Deputy Director","Department for Education","Department for Education","Local Accountability and Improvement","0370 000 2288","N/D","DFE-2298","0","1.00","N/A","N/A","","Other","London","nan","1"
